system, benchmark, implementation, topology, partition,  peak(GB/s)
snellius, pp, Baseline, singlenode, gpu-a100,  10
snellius, pp, Baseline, singlenode, gpu-h100,  10
snellius, pp, Baseline, multinode, gpu-a100,  12.5
snellius, pp, CudaAware, multinode, gpu-a100,  12.5
snellius, pp, Nccl, multinode, gpu-a100,  12.5
snellius, pp, Baseline, multinode, gpu-h100,  50
snellius, pp, CudaAware, multinode, gpu-h100,  50
snellius, pp, Nccl, multinode, gpu-h100,  50
snellius, pp, CudaAware, singlenode, gpu-a100,  100
snellius, pp, Nccl, singlenode, gpu-a100,  100
snellius, pp, Nvlink, singlenode, gpu-a100,  100
snellius, pp, CudaAware, singlenode, gpu-h100,  150
snellius, pp, Nccl, singlenode, gpu-h100,  150
snellius, pp, Nvlink, singlenode, gpu-h100,  150
snellius, mpp, Baseline, singlenode, gpu-a100,  None
snellius, mpp, Baseline, singlenode, gpu-h100,  None
snellius, mpp, CudaAware, singlenode, gpu-a100,  None
snellius, mpp, CudaAware, singlenode, gpu-h100,  None
snellius, mpp, Nccl, singlenode, gpu-a100,  None
snellius, mpp, Nccl, singlenode, gpu-h100,  None
snellius, mpp, Nvlink, singlenode, gpu-a100,  None
snellius, mpp, Nvlink, singlenode, gpu-h100,  None
snellius, mpp, Baseline, multinode, gpu-a100,  12.5
snellius, mpp, CudaAware, multinode, gpu-a100,  12.5
snellius, mpp, Nccl, multinode, gpu-a100,  12.5
snellius, mpp, Baseline, multinode, gpu-h100,  50
snellius, mpp, CudaAware, multinode, gpu-h100,  50
snellius, mpp, Nccl, multinode, gpu-h100,  50
snellius, a2a, Baseline, singlenode, gpu-a100,  10
snellius, a2a, Baseline, singlenode, gpu-h100,  10
snellius, a2a, CudaAware, singlenode, gpu-a100,  300
snellius, a2a, Nccl, singlenode, gpu-a100,  300
snellius, a2a, Nvlink, singlenode, gpu-a100,  300
snellius, a2a, CudaAware, singlenode, gpu-h100,  450
snellius, a2a, Nccl, singlenode, gpu-h100,  450
snellius, a2a, Nvlink, singlenode, gpu-h100,  450
snellius, a2a, Baseline, multinode, gpu-a100,  None
snellius, a2a, CudaAware, multinode, gpu-a100,  None
snellius, a2a, Nccl, multinode, gpu-a100,  None
snellius, a2a, Baseline, multinode, gpu-h100,  None
snellius, a2a, CudaAware, multinode, gpu-h100,  None
snellius, a2a, Nccl, multinode, gpu-h100,  None
snellius, ar, Baseline, singlenode, gpu-a100,  None
snellius, ar, Baseline, singlenode, gpu-h100,  None
snellius, ar, Baseline, multinode, gpu-a100,  None
snellius, ar, Baseline, multinode, gpu-h100,  None
snellius, ar, CudaAware, multinode, gpu-a100,  None
snellius, ar, CudaAware, multinode, gpu-h100,  None
snellius, ar, Nccl, multinode, gpu-a100,  None
snellius, ar, Nccl, multinode, gpu-h100,  None
snellius, ar, CudaAware, singlenode, gpu-a100,  300
snellius, ar, Nccl, singlenode, gpu-a100,  300
snellius, ar, Nvlink, singlenode, gpu-a100,  300
snellius, ar, CudaAware, singlenode, gpu-h100,  450
snellius, ar, Nccl, singlenode, gpu-h100,  450
snellius, ar, Nvlink, singlenode, gpu-h100,  450
snellius, pp, Nvlink, multinode, gpu-a100,  None
snellius, pp, Nvlink, multinode, gpu-h100,  None
snellius, mpp, Nvlink, multinode, gpu-a100,  None
snellius, mpp, Nvlink, multinode, gpu-h100,  None
snellius, a2a, Nvlink, multinode, gpu-a100,  None
snellius, a2a, Nvlink, multinode, gpu-h100,  None
snellius, ar, Nvlink, multinode, gpu-a100,  None
snellius, ar, Nvlink, multinode, gpu-h100,  None
snellius, hlo, Baseline, singlenode, gpu-a100,  None
snellius, hlo, Baseline, singlenode, gpu-h100,  None
snellius, hlo, Baseline, multinode, gpu-a100,  None
snellius, hlo, Baseline, multinode, gpu-h100,  None
snellius, hlo, CudaAware, singlenode, gpu-a100,  None
snellius, hlo, CudaAware, singlenode, gpu-h100,  None
snellius, hlo, CudaAware, multinode, gpu-a100,  None
snellius, hlo, CudaAware, multinode, gpu-h100,  None
snellius, hlo, Nccl, singlenode, gpu-a100,  None
snellius, hlo, Nccl, singlenode, gpu-h100,  None
snellius, hlo, Nccl, multinode, gpu-a100,  None
snellius, hlo, Nccl, multinode, gpu-h100,  None
snellius, hlo, Nvlink, singlenode, gpu-a100,  None
snellius, hlo, Nvlink, singlenode, gpu-h100,  None
snellius, hlo, Nvlink, multinode, gpu-a100,  None
snellius, hlo, Nvlink, multinode, gpu-h100,  None
snellius, mpp, Aggregated, singlenode, gpu-a100,  None
snellius, mpp, Aggregated, singlenode, gpu-h100,  None
snellius, mpp, Aggregated, multinode, gpu-a100,  None
snellius, mpp, Aggregated, multinode, gpu-h100,  None
